18033,VE07 SOC (%) batería directo,VE12 Potencia Fotovoltaica Prevista,VE21 Potencia activa del meter,VE31 Demanda prevista,VE36 Potencia fotovoltaica,VE38 Precio de la energía,Demanda
17/05/18 22:00,10,0,0.327327,0.163237,0,20,0.327327
17/05/18 22:02,10,0,0.319837,0.160848,0,20,0.319837
17/05/18 22:04,10,0,0.262383,0.160418,0,20,0.262383
17/05/18 22:06,10,0,0.165052,0.099534,0,20,0.165052
17/05/18 22:08,10,0,0.151693,0.090998,0,20,0.151693
17/05/18 22:10,10,0,0.106373,0.091198,0,20,0.106373
17/05/18 22:12,10,0,0.086016,0.092284,0,20,0.086016
17/05/18 22:14,10,0,0.085881,0.092443,0,20,0.085881
17/05/18 22:16,10,0,0.134242,0.091266,0,20,0.134242
17/05/18 22:18,10,0,0.170167,0.091842,0,20,0.170167
17/05/18 22:20,10,0,0.167418,0.092753,0,20,0.167418
17/05/18 22:22,10,0,0.166139,0.168893,0,20,0.166139
17/05/18 22:24,10,0,0.164293,0.166164,0,20,0.164293
17/05/18 22:26,10,0,0.163013,0.165,0,20,0.163013
17/05/18 22:28,10,0,0.161897,0.162363,0,20,0.161897
17/05/18 22:30,10,0,0.161182,0.160633,0,20,0.161182
17/05/18 22:32,10,0,0.137512,0.160518,0,20,0.137512
17/05/18 22:34,10,0,0.086227,0.160175,0,20,0.086227
17/05/18 22:36,10,0,0.086004,0.209807,0,20,0.086004
17/05/18 22:38,10,0,0.086253,0.155328,0,20,0.086253
17/05/18 22:40,10,0,0.144958,0.154752,0,20,0.144958
17/05/18 22:42,10,0,0.155456,0.153902,0,20,0.155456
17/05/18 22:44,10,0,0.154512,0.153348,0,20,0.154512
17/05/18 22:46,10,0,0.154643,0.155538,0,20,0.154643
17/05/18 22:48,10,0,0.154523,0.151787,0,20,0.154523
17/05/18 22:50,10,0,0.154108,0.15184,0,20,0.154108
17/05/18 22:52,10,0,0.153847,0.152895,0,20,0.153847
17/05/18 22:54,10,0,0.153563,0.15319,0,20,0.153563
17/05/18 22:56,10,0,0.153528,0.15239,0,20,0.153528
17/05/18 22:58,10,0,0.153387,0.153503,0,20,0.153387
17/05/18 23:00,10,0,0.152199,0,0,0,0.152199
17/05/18 23:02,11,0,1.616008,0.198155,0,10,0.119008
17/05/18 23:04,11,0,1.693206,0.19847,0,10,0.192206
17/05/18 23:06,12,0,1.692602,0.135768,0,10,0.190602
17/05/18 23:08,13,0,1.686445,0.131435,0,10,0.190445
17/05/18 23:10,14,0,1.625645,0.13134,0,10,0.120645
17/05/18 23:12,15,0,1.62527,0.131445,0,10,0.12327
17/05/18 23:14,15,0,1.712186,0.13213,0,10,0.205186
17/05/18 23:16,16,0,1.707574,0.166379,0,10,0.207574
17/05/18 23:18,17,0,1.706468,0.216493,0,10,0.203468
17/05/18 23:20,18,0,1.704392,0.213716,0,10,0.196392
17/05/18 23:22,18,0,1.703467,0.211739,0,10,0.211467
17/05/18 23:24,19,0,1.702458,0.210227,0,10,0.195458
17/05/18 23:26,20,0,1.699992,0.187422,0,10,0.204992
17/05/18 23:28,21,0,1.698578,0.168717,0,10,0.209578
17/05/18 23:30,21,0,1.665774,0.167681,0,10,0.166774
17/05/18 23:32,22,0,1.624838,0.167154,0,10,0.136838
17/05/18 23:34,23,0,1.625237,0.093144,0,10,0.127237
17/05/18 23:36,24,0,1.624972,0.15494,0,10,0.113972
17/05/18 23:38,24,0,1.63024,0.16115,0,10,0.13924
17/05/18 23:40,25,0,1.694455,0.161362,0,10,0.205455
17/05/18 23:42,26,0,1.693362,0.160628,0,10,0.200362
17/05/18 23:44,27,0,1.692705,0.160995,0,10,0.201705
17/05/18 23:46,27,0,1.692119,0.160917,0,10,0.185119
17/05/18 23:48,28,0,1.692344,0.160463,0,10,0.188344
17/05/18 23:50,29,0,1.692521,0.160668,0,10,0.191521
17/05/18 23:52,30,0,1.692414,0.160403,0,10,0.192414
17/05/18 23:54,30,0,1.692234,0.160298,0,10,0.203234
17/05/18 23:56,31,0,1.692729,0.159454,0,10,0.189729
17/05/18 23:58,32,0,1.692771,0.160302,0,10,0.193771
18/05/18 0:00,33,0,1.692518,0.15959,0,10,0.202518
18/05/18 0:02,33,0,1.665844,0.159982,0,10,0.163844
18/05/18 0:04,34,0,1.692044,0.159743,0,10,0.187044
18/05/18 0:06,35,0,1.692202,0.093067,0,10,0.189202
18/05/18 0:08,35,0,1.692186,0.091064,0,10,0.183186
18/05/18 0:10,36,0,1.708601,0.093112,0,10,0.211601
18/05/18 0:12,37,0,1.706588,0.158032,0,10,0.210588
18/05/18 0:14,38,0,1.704798,0.175693,0,10,0.201798
18/05/18 0:16,38,0,1.702484,0.173932,0,10,0.204484
18/05/18 0:18,39,0,1.70181,0.171932,0,10,0.21081
18/05/18 0:20,40,0,1.699955,0.168584,0,10,0.196955
18/05/18 0:22,41,0,1.69859,0.167462,0,10,0.20159
18/05/18 0:24,41,0,1.698496,0.169512,0,10,0.207496
18/05/18 0:26,42,0,1.651502,0.168871,0,10,0.167502
18/05/18 0:28,43,0,1.623036,0.15081,0,10,0.119036
18/05/18 0:30,44,0,1.622711,0.092928,0,10,0.123711
18/05/18 0:32,44,0,1.623135,0.09321,0,10,0.122135
18/05/18 0:34,45,0,1.623633,0.092941,0,10,0.135633
18/05/18 0:36,46,0,1.623599,0.162363,0,10,0.120599
18/05/18 0:38,47,0,1.634543,0.161889,0,10,0.129543
18/05/18 0:40,47,0,1.662937,0.16107,0,10,0.157937
18/05/18 0:42,48,0,1.692807,0.161275,0,10,0.189807
18/05/18 0:44,49,0,1.692122,0.157718,0,10,0.195122
18/05/18 0:46,49,0,1.691552,0.161119,0,10,0.194552
18/05/18 0:48,50,0,1.691003,0.160675,0,10,0.182003
18/05/18 0:50,51,0,1.691056,0.159362,0,10,0.190056
18/05/18 0:52,52,0,1.690548,0.158986,0,10,0.190548
18/05/18 0:54,52,0,1.690825,0.158903,0,10,0.187825
18/05/18 0:56,53,0,1.691033,0.158985,0,10,0.187033
18/05/18 0:58,54,0,1.691174,0.158707,0,10,0.190174
18/05/18 1:00,55,0,1.691545,0.159279,0,10,0.198545
18/05/18 1:02,55,0,1.691249,0.159966,0,10,0.188249
18/05/18 1:04,56,0,1.691218,0.159224,0,10,0.196218
18/05/18 1:06,57,0,1.782829,0.093382,0,10,0.283829
18/05/18 1:08,58,0,1.755772,0.177533,0,10,0.265772
18/05/18 1:10,58,0,1.704069,0.176291,0,10,0.205069
18/05/18 1:12,59,0,1.702334,0.174593,0,10,0.206334
18/05/18 1:14,60,0,1.701073,0.169852,0,10,0.199073
18/05/18 1:16,60,0,1.699633,0.171186,0,10,0.193633
18/05/18 1:18,61,0,1.698847,0.169812,0,10,0.192847
18/05/18 1:20,62,0,1.697743,0.16868,0,10,0.196743
18/05/18 1:22,63,0,1.658907,0.167793,0,10,0.158907
18/05/18 1:24,63,0,1.622992,0.13539,0,10,0.126992
18/05/18 1:26,64,0,1.622789,0.093636,0,10,0.126789
18/05/18 1:28,65,0,1.623246,0.093609,0,10,0.127246
18/05/18 1:30,65,0,1.62321,0.093858,0,10,0.12821
18/05/18 1:32,66,0,1.621501,0.093716,0,10,0.124501
18/05/18 1:34,67,0,1.623218,0.093751,0,10,0.116218
18/05/18 1:36,68,0,1.623187,0.158934,0,10,0.131187
18/05/18 1:38,68,0,1.63903,0.161142,0,10,0.14303
18/05/18 1:40,69,0,1.691729,0.160181,0,10,0.191729
18/05/18 1:42,70,0,1.690725,0.159855,0,10,0.187725
18/05/18 1:44,70,0,1.690883,0.160193,0,10,0.191883
18/05/18 1:46,71,0,1.690547,0.159617,0,10,0.195547
18/05/18 1:48,72,0,1.690838,0.160082,0,10,0.192838
18/05/18 1:50,73,0,1.690249,0.159381,0,10,0.198249
18/05/18 1:52,73,0,1.689735,0.159531,0,10,0.186735
18/05/18 1:54,74,0,0.847248,0.159593,0,10,0.847248
18/05/18 1:56,74,0,0.153542,0.159062,0,10,0.153542
18/05/18 1:58,74,0,0.153395,0.159072,0,10,0.153395
18/05/18 2:00,74,0,0.153217,0.15922,0,10,0.153217
18/05/18 2:02,74,0,0.190279,0.159047,0,10,0.190279
18/05/18 2:04,74,0,0.238199,0.242915,0,10,0.238199
18/05/18 2:06,74,0,0.235624,0.176697,0,10,0.235624
18/05/18 2:08,74,0,0.211407,0.184449,0,10,0.211407
18/05/18 2:10,74,0,0.167307,0.181863,0,10,0.167307
18/05/18 2:12,74,0,0.165768,0.180769,0,10,0.165768
18/05/18 2:14,74,0,0.163454,0.17258,0,10,0.163454
18/05/18 2:16,74,0,0.163858,0.169751,0,10,0.163858
18/05/18 2:18,74,0,0.135541,0.169185,0,10,0.174541
18/05/18 2:20,74,0,0.091098,0.10599,0,10,0.091098
18/05/18 2:22,75,0,0.087337,0.10235,0,10,0.087337
18/05/18 2:24,75,0,0.087388,0.102791,0,10,0.087388
18/05/18 2:26,75,0,0.087589,0.100437,0,10,0.087589
18/05/18 2:28,75,0,0.087542,0.102272,0,10,0.087542
18/05/18 2:30,75,0,0.087694,0.099388,0,10,0.087694
18/05/18 2:32,75,0,0.087566,0.102042,0,10,0.087566
18/05/18 2:34,75,0,0.087524,0.102163,0,10,0.087524
18/05/18 2:36,75,0,0.087511,0.160175,0,10,0.087511
18/05/18 2:38,75,0,0.096404,0.161575,0,10,0.141404
18/05/18 2:40,75,0,0.112574,0.159903,0,10,0.160574
18/05/18 2:42,75,0,0.107168,0.158638,0,10,0.155168
18/05/18 2:44,75,0,0.113411,0.160477,0,10,0.158411
18/05/18 2:46,75,0,0.11446,0.159297,0,10,0.15646
18/05/18 2:48,75,0,0.110713,0.160395,0,10,0.146713
18/05/18 2:50,75,0,0.112808,0.160419,0,10,0.155808
18/05/18 2:52,75,0,0.112583,0.159967,0,10,0.145583
18/05/18 2:54,74,0,0.108856,0.159605,0,10,0.154856
18/05/18 2:56,74,0,0.149903,0.159573,0,10,0.149903
18/05/18 2:58,74,0,0.179783,0.161016,0,10,0.267783
18/05/18 3:00,74,0,0.201713,0.243844,0,10,0.253713
18/05/18 3:02,74,0,0.26429,0.240947,0,10,0.26429
18/05/18 3:04,74,0,0.234398,0.242778,0,10,0.234398
18/05/18 3:06,74,0,0.23348,0.174017,0,10,0.23348
18/05/18 3:08,74,0,0.205352,0.168503,0,10,0.205352
18/05/18 3:10,74,0,0.164472,0.163498,0,10,0.164472
18/05/18 3:12,74,0,0.162107,0.161988,0,10,0.162107
18/05/18 3:14,74,0,0.153648,0.157725,0,10,0.153648
18/05/18 3:16,74,0,0.08773,0.097135,0,10,0.08773
18/05/18 3:18,74,0,0.087477,0.092667,0,10,0.087477
18/05/18 3:20,74,0,0.087805,0.092747,0,10,0.087805
18/05/18 3:22,74,0,0.087701,0.093225,0,10,0.087701
18/05/18 3:24,74,0,0.087541,0.092839,0,10,0.087541
18/05/18 3:26,74,0,0.086954,0.093319,0,10,0.086954
18/05/18 3:28,74,0,0.087989,0.092619,0,10,0.087989
18/05/18 3:30,74,0,0.088123,0.092883,0,10,0.088123
18/05/18 3:32,74,0,0.087499,0.092386,0,10,0.087499
18/05/18 3:34,74,0,0.087917,0.092803,0,10,0.087917
18/05/18 3:36,74,0,0.087462,0.15521,0,10,0.087462
18/05/18 3:38,74,0,0.113889,0.151387,0,10,0.113889
18/05/18 3:40,74,0,0.154924,0.153135,0,10,0.154924
18/05/18 3:42,74,0,0.155119,0.151382,0,10,0.155119
18/05/18 3:45,0,0,0,0,0,0,0
18/05/18 3:47,0,0,0,0,0,0,0
18/05/18 3:48,74,0,0.154849,0.151063,0,10,0.154849
